scenario,scene_id,valid_pixels,total_pixels,valid_ratio,mean,median,std,min,max,p10,p90
ground_rot_45,scene_0252,31,196,0.15816326530612246,0.29125794768333435,0.3249572515487671,0.14734049141407013,-0.12771017849445343,0.5241785049438477,0.14296948909759521,0.4373745620250702
ground_rot_45,scene_0253,31,196,0.15816326530612246,0.19451475143432617,0.22713570296764374,0.1333814561367035,-0.06819339841604233,0.3696466088294983,-0.03072323277592659,0.3459985852241516
ground_rot_45,scene_0254,13,196,0.0663265306122449,0.1818086802959442,0.14506788551807404,0.10001671314239502,0.011964261531829834,0.32848280668258667,0.045883938670158386,0.3167301118373871
ground_rot_45,scene_0255,30,196,0.15306122448979592,0.42300429940223694,0.4005771279335022,0.12976191937923431,0.18943923711776733,0.671796441078186,0.2892976403236389,0.6096935868263245
ground_rot_45,scene_0256,12,196,0.061224489795918366,0.30766719579696655,0.2958683371543884,0.07733642309904099,0.18293927609920502,0.4123630225658417,0.21458160877227783,0.40706929564476013
ground_rot_45,scene_0257,42,196,0.21428571428571427,0.47576895356178284,0.49472013115882874,0.12943010032176971,0.2172977477312088,0.7008758783340454,0.29886528849601746,0.6229651570320129
ground_rot_45,scene_0258,12,196,0.061224489795918366,0.28105613589286804,0.21957607567310333,0.11564842611551285,0.12826992571353912,0.48312509059906006,0.16866469383239746,0.4407180845737457
ground_rot_45,scene_0259,41,196,0.20918367346938777,0.22883807122707367,0.22967857122421265,0.1155572384595871,-0.011454541236162186,0.46533018350601196,0.09392976015806198,0.36202293634414673
ground_rot_45,scene_0260,27,196,0.1377551020408163,0.20871201157569885,0.20391999185085297,0.08399279415607452,0.04599795863032341,0.4039529263973236,0.09681493788957596,0.31483349204063416
ground_rot_45,scene_0261,31,196,0.15816326530612246,0.25193554162979126,0.2681483030319214,0.1313478946685791,-0.1432560384273529,0.5313839316368103,0.10261864960193634,0.3957049250602722
